BILL DATE,no. of BILL NUMBER,BILL NUMBERS,DISC.AMT,CASH SALES,CR.SALES,TOTAL SALES,month
01/04/23,21,1-21,353.48,8576.0,0.0,8576.0,apr23
02/04/23,1,22-22,,630.0,0.0,630.0,apr23
03/04/23,8,23-30,43.45,1244.0,0.0,1244.0,apr23
04/04/23,32,31-62,532.05,10294.0,0.0,10294.0,apr23
05/04/23,4,63-66,269.13,3183.0,0.0,3183.0,apr23
06/04/23,28,67-94,1277.17,15808.0,0.0,15808.0,apr23
07/04/23,22,95-116,756.05,10168.0,0.0,10168.0,apr23
08/04/23,6,117-122,224.38,2295.0,0.0,2295.0,apr23
10/04/23,31,123-153,1586.99,18474.0,0.0,18474.0,apr23
11/04/23,24,154-177,1091.56,13817.0,0.0,13817.0,apr23
12/04/23,22,178-199,129.37,6520.0,0.0,6520.0,apr23
13/04/23,14,200-213,221.45,3651.0,0.0,3651.0,apr23
14/04/23,7,214-220,177.21,2434.0,0.0,2434.0,apr23
15/04/23,25,221-245,425.47,6788.0,0.0,6788.0,apr23
17/04/23,11,246-256,225.19,4490.0,0.0,4490.0,apr23
18/04/23,11,257-267,212.72,3562.0,0.0,3562.0,apr23
19/04/23,15,268-282,153.25,7266.0,0.0,7266.0,apr23
20/04/23,13,283-295,834.45,9767.0,0.0,9767.0,apr23
21/04/23,15,296-310,461.26,7189.0,0.0,7189.0,apr23
22/04/23,17,311-327,254.6,5601.0,0.0,5601.0,apr23
24/04/23,9,328-336,198.96,2876.0,0.0,2876.0,apr23
25/04/23,1,337-337,,42.0,0.0,42.0,apr23
26/04/23,21,338-358,9.25,8520.0,0.0,8520.0,apr23
27/04/23,20,359-378,389.36,6449.0,0.0,6449.0,apr23
28/04/23,6,379-384,375.91,4771.0,0.0,4771.0,apr23
29/04/23,10,385-394,180.74,2649.0,0.0,2649.0,apr23
01/08/23,18,1607-1624,680.07,10788.0,0.0,10788.0,aug23
02/08/23,17,1625-1641,257.22,5637.0,0.0,5637.0,aug23
03/08/23,9,1642-1650,563.54,7371.0,0.0,7371.0,aug23
04/08/23,19,1651-1669,938.12,15614.0,0.0,15614.0,aug23
05/08/23,13,1670-1682,214.11,3086.0,0.0,3086.0,aug23
07/08/23,32,1683-1714,1677.68,19052.0,0.0,19052.0,aug23
08/08/23,20,1715-1734,393.06,12985.0,0.0,12985.0,aug23
09/08/23,21,1735-1755,875.82,12455.0,0.0,12455.0,aug23
10/08/23,16,1756-1771,369.25,7311.0,0.0,7311.0,aug23
11/08/23,18,1772-1789,522.58,6164.0,0.0,6164.0,aug23
12/08/23,23,1790-1812,414.24,6583.0,0.0,6583.0,aug23
14/08/23,23,1813-1835,873.51,13630.0,0.0,13630.0,aug23
15/08/23,11,1836-1846,160.5,3312.0,0.0,3312.0,aug23
16/08/23,20,1847-1866,214.23,4807.0,0.0,4807.0,aug23
17/08/23,3,1867-1869,,1387.0,0.0,1387.0,aug23
18/08/23,33,1870-1902,104.05,8913.0,0.0,8913.0,aug23
19/08/23,27,1903-1929,817.66,11425.0,0.0,11425.0,aug23
21/08/23,22,1930-1951,378.98,7000.0,0.0,7000.0,aug23
22/08/23,14,1952-1965,357.0,5484.0,0.0,5484.0,aug23
23/08/23,19,1966-1984,508.0,8286.0,0.0,8286.0,aug23
24/08/23,8,1985-1992,105.75,2044.0,0.0,2044.0,aug23
25/08/23,14,1993-2006,354.4,5457.0,0.0,5457.0,aug23
26/08/23,20,2007-2026,467.0,8335.0,0.0,8335.0,aug23
28/08/23,18,2027-2044,705.7,9477.0,0.0,9477.0,aug23
29/08/23,16,2045-2060,337.47,5277.0,0.0,5277.0,aug23
30/08/23,12,2061-2072,14.85,3110.0,0.0,3110.0,aug23
01/12/23,20,3723-3742,875.15,16027.0,0.0,16027.0,dec23
02/12/23,31,3743-3773,1093.62,15828.0,0.0,15828.0,dec23
04/12/23,27,3774-3800,67.5,5168.0,0.0,5168.0,dec23
05/12/23,36,3801-3836,540.19,12587.0,0.0,12587.0,dec23
06/12/23,22,3837-3858,347.24,12981.0,0.0,12981.0,dec23
07/12/23,22,3859-3880,86.86,8739.0,0.0,8739.0,dec23
08/12/23,21,3881-3901,216.75,6013.0,0.0,6013.0,dec23
09/12/23,36,3902-3937,597.98,14551.0,0.0,14551.0,dec23
11/12/23,23,3938-3960,183.68,7617.0,0.0,7617.0,dec23
12/12/23,14,3961-3974,59.4,4275.0,0.0,4275.0,dec23
13/12/23,23,3975-3997,116.3,6721.0,0.0,6721.0,dec23
14/12/23,19,3998-4016,207.67,8635.0,0.0,8635.0,dec23
